Age,Birth Place,Birthday,College,Current Status,Current Team,Experience,Height (inches),High School,High School Location,Name,Number,Player Id,Position,Weight (lbs),Years Played
43,"Birmingham , AL",5/19/1976,Alabama-Birmingham,Retired,,2 Seasons,74,,,"Davis, Pernell",,pernelldavis/2500323,,320,1999 - 2000
53,"Bellingham , WA",11/25/1965,Oregon,Retired,,12 Seasons,72,,,"Newman, Anthony",,anthonynewman/2502285,,215,1988 - 1999
,"Independence , MO",11/20/1922,Kansas,Retired,,3 Seasons,74,,,"Ettinger, Don",,donettinger/2513726,,213,1948 - 1950
,"Le Mars , IA",1/18/1930,Loyola Marymount,Retired,,1 Season,70,,,"Klosterman, Don",,donklosterman/2518611,,180,1952 - 1952
22,"Sugar Hill , GA",2/6/1997,Clemson,dev?,Dallas Cowboys,Rookie,77,North Gwinnett HS,"Suwanee, GA","Hyatt, Mitch",65,mitchhyatt/2562566,OT,305,
,"Rockville Centre , NY",10/8/1927,Georgetown,Retired,,6 Seasons,76,,,"Ricca, Jim",,jimricca/2524049,,270,1951 - 1956
52,"Little Rock , AR",10/10/1967,Central Arkansas,Retired,,8 Seasons,72,,,"Davis, Willie",,williedavis/2500340,,188,1991 - 1998
75,"Lake City , FL",3/6/1944,Florida,Retired,,8 Seasons,77,,,"Jackson, Randy",,randyjackson/2517306,,250,1967 - 1974
74,"Birmingham , AL",10/30/1945,Defiance,Retired,,10 Seasons,71,,,"Davis, Ben",,bendavis/2512518,,180,1967 - 1976
27,"Oakland , CA",7/28/1992,Brigham Young,Cut from team,Buffalo Bills,3rd season,78,Deer Valley HS,"Antioch, CA","Wesley, De'Ondre",79,de'ondrewesley/2553763,OT,331,
31,,12/28/1987,Toledo,Retired,,1 Season,75,,,"Marrow, Desmond",,desmondmarrow/2536037,,210,2012 - 2012
24,"Raleigh , NC",6/26/1995,Stanford,Active,Houston Texans,2nd season,75,David W. Butler HS,"Matthews, NC","Kalambayi, Peter",58,peterkalambayi/2560774,LB,254,
41,"Greenville , OH",6/23/1978,Purdue,Retired,,11 Seasons,76,,,"Light, Matt",,mattlight/2504784,,305,2001 - 2011
,"Terre Haute , IN",8/9/1897,Chicago,Retired,,1 Season,69,,,"Leatherman, Paul",,paulleatherman/2519225,,200,1922 - 1922
,"Buckhannon , WV",4/28/1901,Pittsburgh,Retired,,2 Seasons,72,,,"Flanagan, Hoot",,hootflanagan/2514117,,169,1925 - 1926
35,,2/16/1984,Sam Houston State,Retired,,1 Season,73,,,"Terry, D.D.",,d.d.terry/2507264,,190,2007 - 2008
29,"Dubuque , IA",9/22/1990,Iowa State,Retired,,4 Seasons,72,,,"Lenz, Josh",,joshlenz/2541853,,195,2013 - 2016
,"Mcpherson , KS",12/30/1888,No College,Retired,,1 Season,75,,,"Magerkurth, George",,georgemagerkurth/2519964,,240,1920 - 1920
57,"Longview , TX",1/6/1962,Baylor,Retired,,1 Season,74,,,"Hancock, Kevin",,kevinhancock/2515731,,224,1987 - 1987
,"Howe , TX",1/18/1923,Southern Methodist,Retired,,1 Season,74,,,"Baxter, Lloyd",,lloydbaxter/2509207,,210,1948 - 1948
71,"Kilgore , TX",4/29/1948,Northwestern State-Louisiana,Retired,,1 Season,70,,,"Nyvall, Vic",,vicnyvall/2522325,,185,1970 - 1970
55,"Nogales , AZ",9/21/1964,Arizona State,Retired,,12 Seasons,77,,,"Villa, Danny",,dannyvilla/2503469,,304,1987 - 1998
59,"Chicago , IL",2/4/1960,Michigan,Retired,,3 Seasons,75,,,"Thompson, Robert",,robertthompson/2527354,,227,1983 - 1987
79,"Manchester , NH",5/17/1940,Boston College,Retired,,4 Seasons,75,,,"Kirouac, Lou",,loukirouac/2518564,,248,1963 - 1967
,"Waltham , MA",3/7/1907,Holy Cross,Retired,,2 Seasons,71,,,"Fitzgerald, Jim",,jimfitzgerald/2514085,,215,1930 - 1931
48,"Cherokee , IA",8/14/1971,South Dakota State,Retired,,12 Seasons,76,,,"Timmerman, Adam",,adamtimmerman/2503362,,300,1995 - 2006
42,"San Francisco , CA",6/3/1977,California-Davis,Retired,,1 Season,76,,,"Ojo, Onome",,onomeojo/2504644,,205,2001 - 2001
33,"Aurora , CO",7/19/1986,San Diego,Retired,,2 Seasons,72,,,"Matthews, John",,johnmatthews/2507639,,200,2009 - 2011
26,"Metaire , LA",11/28/1992,LSU,Active,Cleveland Browns,6th season,71,Lutcher HS,LA,"Landry, Jarvis",80,jarvislandry/2543488,WR,196,
57,"Crossett , AR",9/10/1962,Arkansas,Retired,,1 Season,73,,,"Kidd, Keith",,keithkidd/2518417,,195,1987 - 1987
37,"Catheys Valley , CA",3/10/1982,Fresno State,Retired,,11 Seasons,76,,,"Mankins, Logan",,loganmankins/2506371,,308,2005 - 2015
26,"White Lake , MI",10/6/1993,Wayne State (Mich.),Retired,,2 Seasons,77,,,"Theaker, Nate",,natetheaker/2559265,,315,2017 - 2019
,"Reynolds , ND",1/5/1898,No College,Retired,,2 Seasons,,,,"Larson, Louie",,louielarson/2519107,,168,1926 - 1929
66,"Ogden , AR",8/20/1953,Henderson State,Retired,,9 Seasons,74,,,"Rhone, Earnest",,earnestrhone/2524042,,220,1975 - 1984
,"Brooklyn , NY",1/7/1922,Holy Cross,Retired,,1 Season,70,,,"Titus, George",,georgetitus/2527469,,185,1946 - 1946
32,"Bettendorf , IA",1/31/1987,Iowa,Retired,,5 Seasons,72,,,"Angerer, Pat",,patangerer/496895,,236,2010 - 2014
25,"Louisburg , KS",3/4/1994,Air Force,Injured reserve,New Orleans Saints,1st season,76,Louisburg HS,KS,"Griffin, Garrett",45,garrettgriffin/2557033,TE,240,
27,"Fort Pierce , FL",7/12/1992,Georgia State,Active,Miami Dolphins,6th season,69,Port St. Lucie HS,FL,"Wilson, Albert",15,albertwilson/2550272,WR,195,
73,"Cameron , TX",9/1/1946,Southern Methodist,Retired,,8 Seasons,73,,,"Partee, Dennis",,dennispartee/2522807,,229,1968 - 1975
31,,6/9/1988,Maine,Retired,,2 Seasons,78,,,"Kelley, Jeremy",,jeremykelley/2540326,,231,2012 - 2015
55,"Los Angeles , CA",7/22/1964,Washington State,Retired,,6 Seasons,71,,,"Taylor, Kitrick",,kitricktaylor/2503263,,181,1988 - 1993
52,"Salt Lake City , UT",7/15/1967,UCLA,Retired,,13 Seasons,73,,,"Lake, Carnell",,carnelllake/2501681,,213,1989 - 2001
37,"Queen City , TX",1/22/1982,Arkansas,Active,Philadelphia Eagles,16th season,76,Queen City HS,TX,"Peters, Jason",71,jasonpeters/2505827,OT,328,
34,,1/24/1985,Stanford,Retired,,2 Seasons,71,,,"Okwo, Michael",,michaelokwo/2495698,,235,2007 - 2008
44,"New Orleans , LA",6/11/1975,Colorado,Retired,,1 Season,75,,,"Thomas, Melvin",,melvinthomas/2503316,,322,1998 - 1998
,"Norfolk , VA",9/24/1929,Tennessee,Retired,,1 Season,72,,,"Daffer, Ted",,teddaffer/2512391,,198,1954 - 1954
,"Waco , TX",2/26/1937,Baylor,Retired,,13 Seasons,77,,,"Dickson, Paul",,pauldickson/2512909,,252,1959 - 1971
48,"Pittsburgh , PA",12/6/1970,Stanford,Retired,,4 Seasons,74,,,"Garnett, Dave",,davegarnett/2500768,,219,1993 - 1996
28,"Columbus , OH",5/28/1991,Cincinnati,Retired,,3 Seasons,76,,,"Annen, Blake",,blakeannen/2550278,,247,2014 - 2016
40,"Houma , LA",1/19/1979,Southern University,Retired,,1 Season,75,,,"Chapman, Robert",,robertchapman/2504888,,240,2004 - 2004
,"Paducah , TX",1/21/1901,Bucknell,Retired,,1 Season,73,,,"Goodwin, Myrl",,myrlgoodwin/2515076,,195,1928 - 1928
34,"Visalia , CA",5/24/1985,Wyoming,Retired,,1 Season,73,,,"Vinnedge, Billy",,billyvinnedge/2507429,,202,2008 - 2008
31,"Odessa , TX",12/21/1987,Texas Tech,Retired,,3 Seasons,70,,,"Batch, Baron",,baronbatch/2499274,,210,2011 - 2013
,"Mccoll , SC",10/8/1914,North Carolina State,Retired,,1 Season,73,,,"Tatum, Jess",,jesstatum/2527047,,215,1938 - 1938
60,"Washington , DC",5/8/1959,Bucknell,Retired,,4 Seasons,68,,,"Jenkins, Ken",,kenjenkins/2517488,,183,1983 - 1986
41,"Greenville , SC",8/11/1978,South Carolina,Retired,,10 Seasons,70,,,"Goodman, Andre'",,andre'goodman/2505064,,191,2002 - 2011
67,"Everett , WA",5/16/1952,Washington State,Retired,,3 Seasons,76,,,"Reece, Geoff",,geoffreece/2523849,,247,1976 - 1978
,"Burnt Prairie , IL",1/19/1906,Southern Illinois,Retired,,1 Season,72,,,"Martin, Abe",,abemartin/2520257,,185,1932 - 1932
57,"Great Lakes , IL",6/5/1962,Northern Illinois,Retired,,1 Season,73,,,"Aikens, Carl",,carlaikens/2508268,,185,1987 - 1987
23,"DeKalb , GA",10/8/1996,Kansas State,Active,Chicago Bears,Rookie,68,,,"Shelley, Duke",33,dukeshelley/2562957,CB,183,
,"Long Beach , CA",7/26/1929,Loyola Marymount,Retired,,1 Season,76,,,"Cheatham, Ernie",,erniecheatham/2511387,,255,1954 - 1954
30,,11/10/1989,Michigan,Retired,,4 Seasons,75,,,"Webb, Martell",,martellwebb/2530741,,276,2011 - 2014
25,,2/2/1994,Georgia Tech,Retired,,1 Season,77,,,"Gamble, Patrick",,patrickgamble/2558944,,277,2017 - 2017
88,"Ellendale , ND",8/21/1931,South Dakota State,Retired,,11 Seasons,73,,,"Retzlaff, Pete",,peteretzlaff/2523986,,211,1956 - 1966
39,,3/17/1980,West Georgia,Retired,,2 Seasons,72,,,"Floyd, Marquis",,marquisfloyd/2507542,,190,2008 - 2009
37,"Frisco City , AL",2/21/1982,Troy,Retired,,4 Seasons,76,,,"Malone, Alfred",,alfredmalone/2506173,,312,2005 - 2009
71,"Raywood , TX",8/27/1948,Stephen F. Austin St.,Retired,,1 Season,75,,,"Eaglin, Larry",,larryeaglin/2513397,,195,1973 - 1973
,"Derby , CT",12/11/1918,Holy Cross,Retired,,1 Season,70,,,"Natowich, Andy",,andynatowich/2521967,,175,1944 - 1944
30,,11/12/1988,Northern Illinois,Retired,,3 Seasons,74,,,"Schiller, Pat",,patschiller/2535581,,235,2012 - 2014
,"West Babylon , NY",7/24/1987,Maine,Retired,,4 Seasons,74,,,"Belcher, Jovan",,jovanbelcher/2507746,,228,2009 - 2012
31,"Akron , OH",8/7/1988,Ohio State,Retired,,4 Seasons,74,,,"Wells, Beanie",,beaniewells/79661,,229,2009 - 2012
58,"Columbus , GA",1/15/1961,Alabama,Retired,,6 Seasons,70,,,"Castille, Jeremiah",,jeremiahcastille/2511272,,175,1983 - 1988
,"Galveston , TX",10/17/1922,Texas,Retired,,1 Season,72,,,"Magliolo, Joe",,joemagliolo/2519969,,210,1948 - 1948
54,"Everett , WA",10/12/1965,Washington,Retired,,17 Seasons,76,,,"Chandler, Chris",,chrischandler/2500048,,224,1988 - 2004
41,Tamuning Guam,12/12/1977,Duke,Retired,,2 Seasons,76,,,"Andrew, Troy",,troyandrew/2504472,,305,2001 - 2002
35,"Houston , TX",3/8/1984,Colorado,Retired,,6 Seasons,72,,,"Iwuh, Brian",,brianiwuh/2506815,,239,2006 - 2011
40,"Jacksonville , FL",6/18/1979,Florida,Retired,,3 Seasons,74,,,"Chandler, Jeff",,jeffchandler/2505096,,215,2002 - 2006
43,"Toledo , OH",7/10/1976,Miami (Ohio),Retired,,4 Seasons,71,,,"Armour, JoJuan",,jojuanarmour/2499450,,220,1999 - 2002
52,"Mckeesport , PA",5/12/1967,Slippery Rock,Retired,,2 Seasons,71,,,"Paterra, Greg",,gregpaterra/2502416,,211,1989 - 1991
40,"Dallas , TX",12/30/1978,Sam Houston State,Retired,,6 Seasons,71,,,"Davis, Keith",,keithdavis/2504943,,207,2002 - 2008
50,"Marion , IA",4/23/1969,Iowa,Retired,,1 Season,78,,,"Geater, Ron",,rongeater/2500782,,272,1992 - 1992
28,"Monroe , LA",12/27/1990,Louisiana Tech,Cut from team,,Season,74,,,"Ellis, Justin",,justinellis/2543812,,350,
62,"Mount Pleasant , TX",9/26/1957,New Mexico,Retired,,8 Seasons,74,,,"Baker, Charles",,charlesbaker/2508866,,226,1980 - 1987
26,"Downey , CA",8/17/1993,Idaho,Active,New York Giants,3rd season,73,Norwalk HS,CA},"Penny, Elijhaa",39,elijhaapenny/2556762,RB,250,
40,"Franklin , VA",10/2/1979,Hampton,Retired,,2 Seasons,76,,,"Scott, Greg",,gregscott/2505199,,293,2002 - 2004
26,"Houston , TX",10/12/1993,Oregon,Retired,,1 Season,69,,,"Addison, Bralon",,bralonaddison/2556457,,197,2016 - 2016
56,"Houston , TX",3/11/1963,Texas A&M,Retired,,5 Seasons,76,,,"Darwin, Matt",,mattdarwin/2512473,,268,1986 - 1990
26,"Madison , WI",10/9/1993,Iowa,Active,San Francisco 49ers,3rd season,76,Norman HS,OK,"Kittle, George",85,georgekittle/2558266,TE,250,
38,"Ellerbe , NC",1/9/1981,North Carolina,Retired,,5 Seasons,70,,,"Waddell, Michael",,michaelwaddell/2506060,,180,2004 - 2008
64,"Miami , FL",10/8/1955,Cal State-Northridge,Retired,,1 Season,75,,,"DeSimone, Rick",,rickdesimone/2512840,,213,1978 - 1978
72,"Oregon City , OR",12/14/1946,Linfield,Retired,,2 Seasons,77,,,"Marshall, Randy",,randymarshall/2520210,,237,1970 - 1971
34,"Albuquerque , NM",10/23/1985,Hawaii,Retired,,3 Seasons,75,,,"Ingram, Jake",,jakeingram/79577,,240,2009 - 2011
88,"Hamtramack , MI",3/25/1931,Michigan,Retired,,6 Seasons,74,,,"Zatkoff, Roger",,rogerzatkoff/2529624,,216,1953 - 1958
27,"Hinsdale , IL",9/24/1992,Michigan State,Retired,,3 Seasons,74,,,"Allen, Jack",,jackallen/2556720,,296,2016 - 2018
73,"Detroit , MI",7/26/1946,Western Michigan,Retired,,4 Seasons,75,,,"Hamlin, Gene",,genehamlin/2515705,,245,1970 - 1973
62,"Tucson , AZ",6/5/1957,Arizona,Retired,,6 Seasons,72,,,"Garcia, Frank",,frankgarcia/2514611,,205,1981 - 1987
44,"Anchorage , AK",6/14/1975,Miami (Ohio),Retired,,1 Season,76,,,"Vaughn, Damian",,damianvaughn/2503457,,251,2002 - 2002
,"Torrance , CA",1/15/1957,Stanford,Retired,,10 Seasons,73,,,"Schonert, Turk",,turkschonert/2525100,,191,1980 - 1989
63,"San Pedro , CA",11/18/1955,Nevada-Las Vegas,Retired,,7 Seasons,75,,,"Carano, Glenn",,glenncarano/2511047,,201,1977 - 1983
,"Detroit , MI",1/27/1921,Michigan State,Retired,,2 Seasons,75,,,"Hansen, Dale",,dalehansen/2515774,,223,1944 - 1948
30,,6/13/1989,Temple,Retired,,1 Season,75,,,"Madison, Colin",,colinmadison/2530850,,325,2011 - 2011
60,"Graterford , PA",3/15/1959,Pittsburgh,Retired,,4 Seasons,76,,,"Neill, Bill",,billneill/2522001,,258,1981 - 1984
33,"Detroit , MI",6/5/1986,Ohio State,Retired,,4 Seasons,75,,,"Gholston, Vernon",,vernongholston/756,,260,2008 - 2012
,,,Fordham,Retired,,1 Season,69,,,"Kane, George",,georgekane/2518119,,190,1921 - 1921
71,"Euclid , OH",3/25/1948,Purdue,Retired,,1 Season,75,,,"Yanchar, Bill",,billyanchar/2529489,,251,1970 - 1970
,"Chicago , IL",2/2/1895,Illinois,Retired,,10 Seasons,72,,,"Halas, George",,georgehalas/2515602,,182,1920 - 1929
33,"Pomona , CA",3/4/1986,Fresno State,Retired,,9 Seasons,74,,,"Wendell, Ryan",,ryanwendell/2507341,,300,2008 - 2016
24,,6/9/1995,Northwest Missouri State,Cut from team,Atlanta Falcons,Rookie,71,Sarasota HS,FL,"Bane, Shawn",16,shawnbane/2563172,WR,170,
43,"Great Falls , MT",9/30/1976,Montana,Retired,,2 Seasons,73,,,"Neil, Dallas",,dallasneil/2503962,,235,2000 - 2002
58,"Mobile , AL",6/16/1961,Florida,Retired,,9 Seasons,79,,,"Fike, Dan",,danfike/2500628,,280,1985 - 1993
25,Luneburg Germany,9/21/1994,Florida Atlantic,Cut from team,,Season,73,,,"Franklin, John",,johnfranklin/2561197,,186,
,"Anderson , SC",2/21/1924,Oregon,Retired,,2 Seasons,75,,,"Garza, Dan",,dangarza/2514685,,203,1949 - 1951
24,"Anniston , AL",1/16/1995,Alabama,Active,Washington Redskins,3rd season,75,Stone Bridge HS,"Ashburn, VA","Allen, Jonathan",93,jonathanallen/2557844,DE,300,
,"New Willard , TX",3/30/1921,Baylor,Retired,,2 Seasons,73,,,"Barnett, Solon",,solonbarnett/2509044,,235,1945 - 1946
,"Konawa , OK",9/8/1929,Notre Dame,Retired,,3 Seasons,78,,,"Beams, Byron",,byronbeams/2509231,,248,1959 - 1961
39,"Council Bluff , IA",6/4/1980,Buena Vista,Retired,,1 Season,68,,,"Martinez, Carlos",,carlosmartinez/2505243,,180,2006 - 2006
23,"Cinnaminson , NJ",5/10/1996,Wesley College,Active,Atlanta Falcons,2nd season,76,,,"Gono, Matt",73,mattgono/2561203,OT,305,
,"Oakville , MI",4/20/1897,No College,Retired,,1 Season,70,,,"Vedder, Lou",,louvedder/2527926,,165,1927 - 1927
36,,4/3/1983,Southern Methodist,Retired,,1 Season,73,,,"Nnabuife, Alvin",,alvinnnabuife/2506742,,212,2006 - 2007
58,"Houston , TX",12/24/1960,Oklahoma,Retired,,7 Seasons,75,,,"Thomas, Chuck",,chuckthomas/2503296,,270,1985 - 1992
35,,2/7/1984,Washington State,Retired,,1 Season,73,,,"Dildine, Steve",,stevedildine/2507156,,238,2007 - 2007
24,"Dallas , TX",1/19/1995,Mississippi,Active,San Francisco 49ers,3rd season,72,Wren HS,"Piedmont, SC","Jones, D.J.",93,d.j.jones/2558265,DT,305,
37,"Tampa , FL",6/18/1982,Ohio State,Retired,,10 Seasons,76,,,"Jenkins, Michael",,michaeljenkins/2505976,,214,2004 - 2013
,"Cleveland , OH",4/4/1935,Purdue,Retired,,2 Seasons,74,,,"Voytek, Ed",,edvoytek/2528023,,235,1957 - 1958
33,"Cupertino , CA",10/28/1986,Northwestern,Retired,,4 Seasons,75,,,"Gill, John",,johngill/2507648,,302,2009 - 2012
,"Texhoma , TX",11/19/1918,South Carolina,Retired,,4 Seasons,71,,,"Elston, Dutch",,dutchelston/2513609,,190,1942 - 1948
26,,7/24/1993,Pennsylvania,Retired,,3 Seasons,78,,,"O'Malley, Ryan",,ryano'malley/2556818,,257,2016 - 2018
,"Philadelphia , PA",3/11/1934,Auburn,Retired,,2 Seasons,73,,,"D'Agostino, Frank",,frankd'agostino/2512393,,245,1956 - 1960
,"Itasca , TX",4/2/1916,Texas Tech,Retired,,1 Season,73,,,"Webb, George",,georgewebb/2528417,,180,1943 - 1943
24,,7/24/1995,North Carolina State,Retired,,1 Season,71,,,"Cherry, Bra'lon",,bra'loncherry/2559322,,188,2017 - 2017
36,Kufai Nigeria,11/13/1982,Liberty,Retired,,6 Seasons,70,,,"Gado, Samkon",,samkongado/2506185,,227,2005 - 2010
26,"Fair Lawn , NJ",5/9/1993,Temple,Active,New York Jets,4th season,75,South Plantation HS,"Plantation, FL","Anderson, Robby",11,robbyanderson/2556462,WR,190,
69,"Baltimore , MD",3/7/1950,Notre Dame,Retired,,2 Seasons,75,,,"Gatewood, Tom",,tomgatewood/2514699,,215,1972 - 1973
,"Bandera , TX",5/14/1910,Austin,Retired,,4 Seasons,76,,,"Harper, Maurice",,mauriceharper/2515877,,227,1937 - 1940
62,"Honolulu , HI",1/4/1957,Hawaii,Retired,,2 Seasons,77,,,"Scanlan, Jerry",,jerryscanlan/2524983,,270,1980 - 1981
35,,6/25/1984,Houston,Retired,,1 Season,77,,,"Harvey, Jeron",,jeronharvey/4473,,224,2008 - 2008
42,,1/2/1977,Williams,Retired,,1 Season,75,,,"Keenan, Sean",,seankeenan/2504042,,208,2000 - 2000
27,,11/6/1992,Cincinnati,Retired,,1 Season,75,,,"Chisum, Alex",,alexchisum/2557532,,194,2016 - 2016
30,"Colorado Springs , CO",8/27/1989,Delaware,Retired,,1 Season,77,,,"Allard, Shea",,sheaallard/2535999,,305,2012 - 2012
,"Chicago , IL",2/18/1907,Illinois,Retired,,1 Season,71,,,"Nelson, Packie",,packienelson/2522024,,205,1929 - 1929
56,"Fulton , MO",10/13/1963,Missouri,Retired,,1 Season,71,,,"Johnson, Herbert",,herbertjohnson/2517652,,182,1987 - 1987
38,"Erie , PA",2/24/1981,Iowa,Retired,,8 Seasons,68,,,"Sanders, Bob",,bobsanders/2506123,,206,2004 - 2011
48,"Anniston , AL",10/26/1971,Arkansas,Retired,,1 Season,71,,,"Watters, Orlando",,orlandowatters/2503566,,177,1994 - 1994
30,"Hernando , MS",6/6/1989,Mississippi,Cut from team,,Season,78,,,"Sowell, Bradley",,bradleysowell/2535866,,277,
73,"Greenville , SC",10/10/1946,Maryland East. Shore,Retired,,13 Seasons,73,,,"Thompson, Bill",,billthompson/2527373,,201,1969 - 1981
37,"Oxford , MI",10/26/1982,Michigan State,Retired,,7 Seasons,74,,,"Rayner, Dave",,daverayner/2506536,,215,2005 - 2011
59,"Los Angeles , CA",5/24/1960,USC,Retired,,12 Seasons,76,,,"Foster, Roy",,royfoster/2500690,,275,1982 - 1993
60,"Los Angeles , CA",12/3/1958,Cal Poly-S.L.O.,Retired,,6 Seasons,68,,,"Martin, Robbie",,robbiemartin/2520259,,179,1981 - 1986
59,"Louisville , KY",10/6/1960,Michigan,Retired,,9 Seasons,78,,,"Paris, Bubba",,bubbaparis/2502396,,293,1983 - 1991
,"Ardmore , OK",1/26/1906,USC,Retired,,1 Season,69,,,"Saunders, Russ",,russsaunders/2524947,,190,1931 - 1931
28,"Langton , ON",11/26/1990,Virginia,Cut from team,,Season,79,,,"Pasztor, Austin",,austinpasztor/2535837,,305,
38,"Bronx , NY",10/7/1981,Ohio State,Retired,,5 Seasons,76,,,"Olivea, Shane",,shaneolivea/2505899,,324,2004 - 2008
47,,9/21/1972,UCLA,Retired,,1 Season,72,,,"Goodwin, Marvin",,marvingoodwin/2500841,,199,1994 - 1994
55,"Allentown , PA",1/29/1964,Kutztown,Retired,,16 Seasons,74,,,"Reed, Andre",,andrereed/2502607,,190,1985 - 2000
52,"Detroit , MI",4/12/1967,Michigan,Retired,,7 Seasons,75,,,"Abrams, Bobby",,bobbyabrams/2508169,,242,1990 - 1996
29,"Eufaula , AL",12/13/1989,Alabama,Retired,,7 Seasons,74,,,"Upshaw, Courtney",,courtneyupshaw/2532964,,272,2012 - 2018
35,,8/23/1984,West Virginia,Retired,,0 Season,75,,,"Magro, Marc",,marcmagro/2507451,,246,2008 - 2008
25,"Houston , TX",3/2/1994,Northwestern State-Louisiana,Cut from team,,Season,78,,,"Murphy, Pace",,pacemurphy/2556627,,308,
26,,6/7/1993,Nebraska,Retired,,1 Season,75,,,"Maurice, Kevin",,kevinmaurice/2559341,,300,2017 - 2017
39,"East Point , GA",12/26/1979,South Carolina,Retired,,7 Seasons,78,,,"Edwards, Kalimba",,kalimbaedwards/2505035,,265,2002 - 2008
73,"Tuskegee , AL",7/24/1946,Alabama A&M,Retired,,1 Season,75,,,"Kindricks, Bill",,billkindricks/2518472,,268,1968 - 1968
43,"Eden , NC",12/31/1975,Hampton,Retired,,2 Seasons,73,,,"Dalton, Antico",,anticodalton/2500275,,240,1999 - 2000
23,"Chicago , IL",4/22/1996,Northwestern,Active,Los Angeles Chargers,2nd season,72,Glenbard North HS,"Carol Stream, IL","Jackson, Justin",22,justinjackson/2560756,RB,199,
,"Pryor , OK",5/26/1907,Arkansas,Retired,,3 Seasons,73,,,"Van Sickle, Clyde",,clydevansickle/2527887,,220,1930 - 1933
24,"San Clemente , CA",3/28/1995,Oregon State,Active,Atlanta Falcons,2nd season,76,San Clemente HS,"San Clemente, CA","Harlow, Sean",64,seanharlow/2557911,OG,284,
63,"Elkin , NC",12/16/1955,Colorado State,Retired,,1 Season,73,,,"Norman, Ben",,bennorman/2522239,,212,1980 - 1980
56,"Enid , OK",1/10/1963,Florida,Retired,,4 Seasons,75,,,"Zimmerman, Jeff",,jeffzimmerman/2529666,,320,1987 - 1990
47,"Oakland , CA",5/9/1972,California,Retired,,1 Season,75,,,"Barr, Dave",,davebarr/2499554,,210,1995 - 1995
24,,6/30/1995,Minnesota,Retired,,1 Season,77,,,"Ekpe, Hendrick",,hendrickekpe/2559285,,253,2017 - 2017
23,,5/28/1996,Northwest Missouri State,Cut from team,Chicago Bears,Rookie,71,,,"Caldwell, Josh",30,joshcaldwell/2563337,RB,220,
86,"Sturgis , SD",5/18/1933,Colorado,Retired,,1 Season,72,,,"Hardy, Carroll",,carrollhardy/2515819,,185,1955 - 1955
,"Steelton , PA",9/13/1907,Loyola (Balt.),Retired,,3 Seasons,68,,,"Intrieri, Marne",,marneintrieri/2517173,,250,1932 - 1934
36,"Palmdale , CA",10/25/1983,San Diego State,Retired,,0 Season,73,,,"Martin, Joe",,joemartin/2520248,,229,2007 - 2007
27,"Thibodaux , LA",10/21/1992,Auburn,Active,Cleveland Browns,6th season,77,Thibodaux HS,LA,"Robinson, Greg",78,gregrobinson/2543458,OT,330,
,,,Gonzaga,Retired,,1 Season,,,,"Waldron, Tim",,timwaldron/2528072,,195,1927 - 1927
57,,10/15/1962,San Francisco State,Retired,,1 Season,73,,,"Jackson, Joe",,joejackson/2517276,,225,1987 - 1987
67,"Hazelhurst , MS",11/4/1952,Alcorn State,Retired,,10 Seasons,76,,,"Pillers, Lawrence",,lawrencepillers/2523247,,255,1976 - 1985
24,"New Orleans , LA",10/12/1995,LSU,Cut from team,Los Angeles Chargers,1st season,74,John Curtis Christian HS,"River Ridge, LA","Dupre, Malachi",15,malachidupre/2558095,WR,196,
,"Aurora , IL",12/10/1897,Indiana,Retired,,8 Seasons,72,,,"Hanny, Duke",,dukehanny/2515760,,199,1923 - 1930
,"Portland , ME",1/25/1900,Georgetown,Retired,,2 Seasons,71,,,"Flavin, Jack",,jackflavin/2514125,,187,1923 - 1924
,"Clay Center , KS",11/19/1897,Kansas State,Retired,,1 Season,70,,,"Hahn, Ray",,rayhahn/2515586,,190,1926 - 1926
25,London England,4/5/1994,Connecticut,dev?,New England Patriots,3rd season,76,Grafton HS,MA,"Melifonwu, Obi",22,obimelifonwu/2558189,DB,224,
36,"Altoona , IA",11/14/1982,Purdue,Retired,,10 Seasons,76,,,"Orton, Kyle",,kyleorton/2506444,,228,2005 - 2014
,"Durham , NC",7/15/1938,North Carolina Central,Retired,,5 Seasons,75,,,"Barnes, Ernie",,erniebarnes/2509016,,247,1960 - 1964
,"Calera , AL",6/13/1919,Alabama,Retired,,3 Seasons,70,,,"Martin, Frank",,frankmartin/2520238,,177,1943 - 1945
27,"Rockville , MD",3/13/1992,Florida,Retired,,5 Seasons,72,,,"Jenkins, Jelani",,jelanijenkins/2540190,,240,2013 - 2017
56,"New Orleans , LA",6/28/1963,Eastern New Mexico,Retired,,1 Season,77,,,"Eccles, Scott",,scotteccles/2513438,,240,1987 - 1987
24,USA,2/21/1995,LSU,dev?,Tampa Bay Buccaneers,Rookie,72,Hallandale HS,"Hallandale, FL","Battle, John",32,johnbattle/2562625,DB,201,
31,"Louisville , KY",2/11/1988,Utah State,Active,Chicago Bears,4th season,75,Weber HS,"Ogden, UT","Scales, Patrick",48,patrickscales/2530600,LS,228,
54,"Paducah , KY",3/8/1965,Arkansas,Retired,,1 Season,72,,,"Thomas, Derrick",,derrickthomas/2527228,,232,1987 - 1987
44,"Roanoke , VA",2/16/1975,Virginia,Retired,,4 Seasons,75,,,"Taylor, Shannon",,shannontaylor/2504136,,247,2000 - 2003
